Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR15734421_trim.1	SRR15734421_trim.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	139257004.0	0.0	45-151	45.0	84.9529362174967	148.88346382922327	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR15734421_trim.2	SRR15734421_trim.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	139257004.0	0.0	45-151	45.0	85.03429725190439	148.33029943685992	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass
SRR15734422_trim.1	SRR15734422_trim.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	179862030.0	0.0	45-151	44.0	89.40677675143536	148.98151407498293	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR15734422_trim.2	SRR15734422_trim.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	179862030.0	0.0	45-151	44.0	89.79873873102892	148.23405131700116	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass
SRR15734423_trim.1	SRR15734423_trim.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	175080483.0	0.0	45-151	44.0	83.85842437312945	149.327454831159	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR15734423_trim.2	SRR15734423_trim.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	175080483.0	0.0	45-151	44.0	83.77802699348148	149.0597504463133	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass
SRR15734424_trim.1	SRR15734424_trim.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	172059464.0	0.0	45-151	45.0	84.34594713520094	149.1268980472937	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR15734424_trim.2	SRR15734424_trim.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	172059464.0	0.0	45-151	45.0	84.29732109660448	148.6295493458006	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass
SRR15734425_trim.1	SRR15734425_trim.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	118902513.0	0.0	45-151	45.0	85.18796668203062	148.66036124905114	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR15734425_trim.2	SRR15734425_trim.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	118902513.0	0.0	45-151	45.0	85.2074947753893	148.07323761105033	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
