Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR17407396_1	20.080797321571353	46.0	151.0	151	0.0	373611542.0
SRR17407396_2	19.70919422571798	46.0	151.0	151	0.0	373611542.0
SRR17408317_1	9.856203067119793	46.0	151.0	151	0.0	124537200.0
SRR17408317_2	9.916653788219847	46.0	151.0	151	0.0	124537200.0
SRR17408318_1	10.07221435337516	46.0	151.0	151	0.0	124537142.0
SRR17408318_2	10.042754342480194	46.0	151.0	151	0.0	124537142.0
SRR17619844_1	19.4776968899685	44.0	151.0	151	10.0	458647372.0
SRR17619844_2	19.223843445876142	44.0	151.0	151	10.0	458647372.0
SRR17619845_1	21.099149759943344	45.0	151.0	151	10.0	373164734.0
SRR17619845_2	20.24085304524597	45.0	151.0	151	10.0	373164734.0
