Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
SRR15734420	329322236.0	0.0	329322236.0	1.0	164661118.0	164661118.0	328273380.0	327836334.0	1048856.0	299029604.0	329322236.0	46292412.0	19342214.0	0.0	0.0	6776302.0	49079449988.0	24564866074.0	24514583914.0	48934268744.0	48337094605.0	0.0	6838817580.0	498446145.0	0.01031188	149.0	149.0	149.0	151.0	151.0	151.0	36.3	349.6	79.6	148958518.0	889618.0	68994.0	14001037.0	90.8	99.68151072556182	99.54879997838955	0.31848927443818276	90.8015224334867	100.0	14.05687407029509	5.873339812984872	0.0
SRR15734421	278514008.0	0.0	278514008.0	1.0	139257004.0	139257004.0	277451559.0	277024944.0	1062449.0	249057098.0	278514008.0	39509830.0	17876149.0	0.0	0.0	7271444.0	41382395366.0	20730376735.0	20652018631.0	41235482611.0	40619485624.0	0.0	5787851328.0	480212657.0	0.01182222	148.0	149.0	148.0	151.0	151.0	151.0	36.3	348.8	82.1	123875230.0	973112.0	68147.0	13595983.0	89.4	99.61852942060997	99.46535400115314	0.381470579390032	89.42354454214741	100.0	14.18593997613219	6.418402122165431	0.0
SRR15734422	359724060.0	0.0	359724060.0	1.0	179862030.0	179862030.0	358335527.0	357713182.0	1388533.0	320201388.0	359724060.0	28812300.0	22521293.0	0.0	0.0	8313888.0	53448890700.0	26792299938.0	26656590762.0	53261096506.0	52529638742.0	0.0	4227664774.0	593000046.0	0.01128887	148.0	149.0	148.0	151.0	151.0	151.0	36.1	377.1	86.9	159706513.0	936598.0	90093.0	18123387.0	89.0	99.61400052028769	99.44099429990865	0.38599947971231063	89.01305850934742	100.0	8.009555991334025	6.260713559165322	0.0
SRR15734423	350160966.0	0.0	350160966.0	1.0	175080483.0	175080483.0	348939769.0	348439564.0	1221197.0	319538874.0	350160966.0	56893407.0	19746831.0	0.0	0.0	6088970.0	52233622668.0	26141047130.0	26092575538.0	52062424474.0	51460412468.0	0.0	8439133681.0	514304593.0	0.00999418	149.0	149.0	149.0	151.0	151.0	151.0	36.3	357.1	80.8	159296570.0	792233.0	74783.0	14056196.0	91.3	99.65124696394629	99.5083969467916	0.3487530360537102	91.25485277533761	100.0	16.247786739313486	5.639358157356694	0.0
SRR15734424	344118928.0	0.0	344118928.0	1.0	172059464.0	172059464.0	342908311.0	342397010.0	1210617.0	309893444.0	344118928.0	50876809.0	21140206.0	0.0	0.0	7797816.0	51223607009.0	25655433705.0	25568173304.0	51056644022.0	50354934146.0	0.0	7515642453.0	561279978.0	0.01114647	148.0	149.0	149.0	151.0	151.0	151.0	36.3	358.7	84.6	154280340.0	1010328.0	83458.0	15824379.0	90.1	99.64819807877583	99.49961543527766	0.3518019212241647	90.0541698769909	100.0	14.784658692183303	6.143284858774174	0.0
SRR15734425	237805026.0	0.0	237805026.0	1.0	118902513.0	118902513.0	236985116.0	236625528.0	819910.0	210703944.0	237805026.0	33851531.0	16110977.0	0.0	0.0	7254403.0	35276669427.0	17673723699.0	17602945728.0	35165116494.0	34578414906.0	0.0	4936205861.0	437181487.0	0.01264319	148.0	149.0	148.0	151.0	151.0	151.0	36.3	350.5	85.2	104633260.0	996640.0	57106.0	12625758.0	88.6	99.65521754784106	99.50400627781517	0.344782452158938	88.60365465951085	100.0	14.23499392313096	6.774868164476894	0.0
SRR15734426	245405274.0	0.0	245405274.0	1.0	122702637.0	122702637.0	244618731.0	244272184.0	786543.0	221582742.0	245405274.0	22858377.0	14818848.0	0.0	0.0	5709657.0	36558309899.0	18300962351.0	18257347548.0	36450213652.0	35981730240.0	0.0	3357321590.0	396306792.0	0.01101411	148.0	149.0	149.0	151.0	151.0	151.0	36.2	353.4	81.6	110356797.0	688925.0	53773.0	11036597.0	90.3	99.67949221824793	99.53827805672995	0.32050778175207434	90.29257537472483	100.0	9.314541870848302	6.038520590229858	0.0
SRR15734427	222205114.0	0.0	222205114.0	1.0	111102557.0	111102557.0	221533632.0	221235516.0	671482.0	203219696.0	222205114.0	17938199.0	12301899.0	0.0	0.0	3645752.0	33175891522.0	16602281368.0	16573610154.0	33082828110.0	32740372878.0	0.0	2656841230.0	310677905.0	0.009489139	149.0	149.0	149.0	151.0	151.0	151.0	36.3	361.1	81.9	101367320.0	452241.0	49559.0	8748638.0	91.5	99.6978098352858	99.5636473065152	0.30219016471421084	91.45590411569016	100.0	8.072811051504422	5.536280771647767	0.0
SRR15734428	224881318.0	0.0	224881318.0	1.0	112440659.0	112440659.0	224046394.0	223644174.0	834924.0	182651166.0	224881318.0	24638701.0	22086467.0	0.0	0.0	15879025.0	33095502876.0	16610643378.0	16484859498.0	32988085930.0	31964680410.0	0.0	3435221800.0	679353319.0	0.02125325	147.0	148.0	147.0	151.0	151.0	151.0	36.1	329.8	94.1	89877005.0	1858742.0	66758.0	20019582.0	81.2	99.62872682914461	99.44986804106155	0.3712731708553932	81.22113816497642	100.0	10.956312965045855	9.821388097698716	0.0
SRR15734429	285342968.0	0.0	285342968.0	1.0	142671484.0	142671484.0	284225051.0	283806206.0	1117917.0	259765460.0	285342968.0	34476711.0	16559140.0	0.0	0.0	5596848.0	42523483369.0	21284194277.0	21239289092.0	42366990270.0	41822555902.0	0.0	5097990649.0	461329519.0	0.01103064	149.0	149.0	149.0	151.0	151.0	151.0	36.3	342.2	80.3	129427419.0	777529.0	66983.0	11631172.0	91.0	99.60821988786492	99.46143337234791	0.3917801121350921	91.03622276754338	100.0	12.082551478892587	5.803240961592578	0.0
