Sample	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences
SRR15734410	0.01113578	0.0	255593580.0	99.51597267587185	90.20583425875908	6.185948318764675	256836740.0
SRR15734411	0.01132478	0.0	263678498.0	99.67361468195868	90.26970711833184	6.206922045369263	264541924.0
SRR15734412	0.01358446	0.0	287331355.0	99.65440274147959	88.00841506067982	7.177357655353174	288327808.0
SRR15734413	0.01403579	0.0	322180131.0	99.62844862630737	88.10906283306234	7.180987320060142	323381660.0
SRR15734414	0.01257341	0.0	305539124.0	99.68559242357571	90.14023598192867	6.551459407260472	306502792.0
SRR15734415	0.01057066	0.0	287992749.0	99.66004928271992	90.61761448101404	5.892932195042035	288975122.0
SRR15734416	0.01209614	0.0	296293659.0	98.765266743661	88.61737507489721	6.4082453102527746	299997832.0
SRR15734417	0.01001178	0.0	288189747.0	99.67702285061179	91.32328376571192	5.67882657777272	289123550.0
SRR15734418	0.01041702	0.0	276511865.0	98.05042037677319	89.27790300901239	5.839428557309512	282009872.0
SRR15734419	0.01082331	0.0	290172129.0	99.65490847428188	90.38954236474675	6.052326132566617	291176956.0
SRR15734420	0.01031188	0.0	328273380.0	99.68151072556182	90.8015224334867	5.873339812984872	329322236.0
SRR15734421	0.01182222	0.0	277451559.0	99.61852942060997	89.42354454214741	6.418402122165431	278514008.0
SRR15734422	0.01128887	0.0	358335527.0	99.61400052028769	89.01305850934742	6.260713559165322	359724060.0
SRR15734423	0.00999418	0.0	348939769.0	99.65124696394629	91.25485277533761	5.639358157356694	350160966.0
SRR15734424	0.01114647	0.0	342908311.0	99.64819807877583	90.0541698769909	6.143284858774174	344118928.0
SRR15734425	0.01264319	0.0	236985116.0	99.65521754784106	88.60365465951085	6.774868164476894	237805026.0
SRR15734426	0.01101411	0.0	244618731.0	99.67949221824793	90.29257537472483	6.038520590229858	245405274.0
SRR15734427	0.009489139	0.0	221533632.0	99.6978098352858	91.45590411569016	5.536280771647767	222205114.0
SRR15734428	0.02125325	0.0	224046394.0	99.62872682914461	81.22113816497642	9.821388097698716	224881318.0
SRR15734429	0.01103064	0.0	284225051.0	99.60821988786492	91.03622276754338	5.803240961592578	285342968.0
SRR15734430	0.01097341	0.0	204052467.0	99.67160934179901	90.30349547746945	6.010232352740678	204724764.0
SRR15734431	0.01154683	0.0	196244071.0	99.66041053935528	89.83332548383379	6.245675305784898	196912766.0
SRR15734432	0.01200032	0.0	220597886.0	99.65324224343408	89.69265344559943	6.338861186889259	221365488.0
SRR15734433	0.01008639	0.0	214464305.0	98.35944680044463	89.82369356570328	5.658300013589163	218041390.0
SRR15734434	0.0113856	0.0	210503207.0	97.85709112350688	88.15239329230309	6.1201012231345695	215112880.0
SRR15734435	0.01237394	0.0	247803966.0	99.65150600371814	88.80786084825286	6.540293904021645	248670568.0
SRR15734436	0.01083547	0.0	52617562.0	99.62022148672595	90.33665583995987	5.941676795444233	52818154.0
SRR15734437	0.01169207	0.0	288995910.0	99.65360674679225	89.50554670169963	6.442540648178024	290000452.0
SRR15734438	0.01144568	0.0	264529063.0	96.0091382672955	86.68869032807491	6.057144458242755	275524880.0
SRR15734440	0.01089128	0.0	224083871.0	99.6283160621893	90.37917780689372	6.043791277090504	224919862.0
SRR15734441	0.01112207	0.0	219160140.0	99.65915735062256	90.2655019933956	6.162319289565081	219909686.0
SRR15734442	0.01101316	0.0	290389440.0	98.64988376351795	88.70834858260984	6.058799534284955	294363692.0
SRR15734443	0.01027118	0.0	241310197.0	99.68548266517924	90.90656723755323	5.8719418969814186	242071554.0
SRR15734444	0.00957158	0.0	238163972.0	99.67644784510571	91.49102522221564	5.55053205685658	238937058.0
SRR15734445	0.01182721	0.0	220483068.0	99.6560332730087	89.31203915545328	6.497030062825547	221244074.0
SRR17407396	0.02731423	0.0	719453422.0	98.50322174171444	89.02555148137927	8.27308886052141	730385676.0
SRR17408317	0.0273178	0.0	239823006.0	98.50461339765066	89.02538049507416	8.273643881164558	243463730.0
SRR17408318	0.02731276	0.0	239818242.0	98.50297707324964	89.02548280264325	8.273321255985172	243462938.0
SRR17619844	0.009731661	0.0	879216348.0	99.84778810258503	94.42829607353148	5.781885517736019	880556660.0
SRR17619845	0.01348188	0.0	732764168.0	99.80506197509597	95.33920775318838	7.022641441414436	734195394.0
